Time,Call Sign,System,Status,Action Needed,Remarks
00:00:00,UAE201,Electrical,Warning,System reset needed,
00:00:30,UAE201,Hydraulics,Critical,Manual override required,
00:01:00,UAE201,Engine,Warning,System reset needed,
00:01:30,UAE201,Engine,Critical,No action needed,
00:02:00,UAE201,Hydraulics,Normal,No action needed,
00:02:30,UAE201,Landing Gear,Normal,System reset needed,
00:03:00,UAE201,Electrical,Warning,System reset needed,
00:03:30,UAE201,Hydraulics,Normal,Manual override required,
00:04:00,UAE201,Hydraulics,Warning,System reset needed,
00:04:30,UAE201,Avionics,Critical,No action needed,
00:05:00,UAE201,Engine,Critical,System reset needed,
00:05:30,UAE201,Engine,Critical,No action needed,
00:06:00,UAE201,Engine,Critical,System reset needed,
00:06:30,UAE201,Landing Gear,Warning,System reset needed,
00:07:00,UAE201,Electrical,Warning,No action needed,
00:07:30,UAE201,Landing Gear,Warning,No action needed,
00:08:00,UAE201,Landing Gear,Normal,No action needed,
00:08:30,UAE201,Hydraulics,Normal,Manual override required,
00:09:00,UAE201,Engine,Warning,No action needed,
00:09:30,UAE201,Avionics,Normal,No action needed,
00:10:00,UAE201,Engine,Warning,Manual override required,
00:10:30,UAE201,Avionics,Critical,System reset needed,
00:11:00,UAE201,Avionics,Critical,System reset needed,
00:11:30,UAE201,Landing Gear,Normal,No action needed,
00:12:00,UAE201,Electrical,Normal,No action needed,
00:12:30,UAE201,Landing Gear,Normal,System reset needed,
00:13:00,UAE201,Electrical,Critical,Manual override required,
00:13:30,UAE201,Electrical,Warning,Manual override required,
00:14:00,UAE201,Avionics,Critical,System reset needed,
00:14:30,UAE201,Engine,Normal,System reset needed,
00:15:00,UAE201,Electrical,Normal,No action needed,
00:15:30,UAE201,Avionics,Warning,No action needed,
00:16:00,UAE201,Landing Gear,Normal,No action needed,
00:16:30,UAE201,Landing Gear,Critical,Manual override required,
00:17:00,UAE201,Electrical,Critical,Manual override required,
00:17:30,UAE201,Engine,Warning,System reset needed,
00:18:00,UAE201,Electrical,Warning,No action needed,
00:18:30,UAE201,Avionics,Warning,No action needed,
00:19:00,UAE201,Electrical,Critical,No action needed,
00:19:30,UAE201,Electrical,Normal,System reset needed,
00:20:00,UAE201,Electrical,Critical,No action needed,
00:20:30,UAE201,Landing Gear,Warning,No action needed,
00:21:00,UAE201,Landing Gear,Warning,System reset needed,
00:21:30,UAE201,Engine,Critical,No action needed,
00:22:00,UAE201,Landing Gear,Normal,System reset needed,
00:22:30,UAE201,Engine,Warning,No action needed,
00:23:00,UAE201,Engine,Warning,No action needed,
00:23:30,UAE201,Hydraulics,Normal,No action needed,
00:24:00,UAE201,Electrical,Warning,Manual override required,
00:24:30,UAE201,Landing Gear,Normal,System reset needed,
00:25:00,UAE201,Hydraulics,Critical,Manual override required,
00:25:30,UAE201,Engine,Warning,No action needed,
00:26:00,UAE201,Hydraulics,Critical,System reset needed,
00:26:30,UAE201,Landing Gear,Warning,No action needed,
00:27:00,UAE201,Electrical,Critical,Manual override required,
