Time,Call Sign,Runway,Status,Taxiway Congestion,Expected Delays (minutes),Gate Assignment
00:00:00,UAE201,09L,Under Maintenance,Low,16,Gate assigned at terminal 3
00:00:30,UAE201,13R,Closed,High,40,Gate assigned at terminal 3
00:01:00,UAE201,27R,Under Maintenance,Moderate,31,Gate assigned at terminal 3
00:01:30,UAE201,27R,Closed,High,37,Gate assigned at terminal 3
00:02:00,UAE201,18R,Under Maintenance,Low,36,Gate assigned at terminal 3
00:02:30,UAE201,18R,Under Maintenance,Moderate,59,Gate assigned at terminal 3
00:03:00,UAE201,18R,Under Maintenance,Moderate,6,Gate assigned at terminal 3
00:03:30,UAE201,13L,Open,Low,33,Gate assigned at terminal 3
00:04:00,UAE201,27L,Closed,Moderate,57,Gate assigned at terminal 3
00:04:30,UAE201,18L,Under Maintenance,Moderate,30,Gate assigned at terminal 3
00:05:00,UAE201,09L,Open,Low,32,Gate assigned at terminal 3
00:05:30,UAE201,09R,Open,Moderate,3,Gate assigned at terminal 3
00:06:00,UAE201,18R,Under Maintenance,Low,32,Gate assigned at terminal 3
00:06:30,UAE201,27L,Closed,Moderate,44,Gate assigned at terminal 3
00:07:00,UAE201,18L,Under Maintenance,Moderate,21,Gate assigned at terminal 3
00:07:30,UAE201,09R,Under Maintenance,Low,34,Gate assigned at terminal 3
00:08:00,UAE201,09R,Closed,High,13,Gate assigned at terminal 3
00:08:30,UAE201,09R,Closed,High,32,Gate assigned at terminal 3
00:09:00,UAE201,18R,Closed,Low,35,Gate assigned at terminal 3
00:09:30,UAE201,13R,Under Maintenance,Moderate,24,Gate assigned at terminal 3
00:10:00,UAE201,27R,Under Maintenance,High,1,Gate assigned at terminal 3
00:10:30,UAE201,27R,Open,Low,47,Gate assigned at terminal 3
00:11:00,UAE201,27L,Closed,High,10,Gate assigned at terminal 3
00:11:30,UAE201,27L,Closed,Low,48,Gate assigned at terminal 3
00:12:00,UAE201,09R,Closed,High,55,Gate assigned at terminal 3
00:12:30,UAE201,27R,Open,Moderate,19,Gate assigned at terminal 3
00:13:00,UAE201,27R,Closed,Low,11,Gate assigned at terminal 3
