Time,Call Sign,Communication Type,Message Content,Altitude (ft),Speed (knots),Heading (degrees),Position
00:00:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",35000,444,307,"('40.6413° N', '-73.7781° W')"
00:00:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",5000,424,251,"('34.0837° N', '74.7973° E')"
00:01:00,UAE201,ATC Instruction,Hold short of runway 12R.,15000,444,16,"('25.2532° N', '55.3657° E')"
00:01:30,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",15000,439,68,"('28.7041° N', '77.1025° E')"
00:02:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,35000,466,168,"('26.0765° N', '56.2406° E')"
00:02:30,UAE201,ATC Instruction,Contact center on 126.1 for further instructions.,10000,432,141,"('28.7041° N', '77.1025° E')"
00:03:00,UAE201,ATC Instruction,Contact center on 126.1 for further instructions.,5000,487,183,"('26.0765° N', '56.2406° E')"
00:03:30,UAE201,Pilot Report,"Passing FL50, climbing to FL350.",5000,450,200,"('28.7041° N', '77.1025° E')"
00:04:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",35000,416,41,"('26.0765° N', '56.2406° E')"
00:04:30,UAE201,Pilot Report,Experiencing moderate turbulence at FL150.,15000,422,139,"('26.0765° N', '56.2406° E')"
00:05:00,UAE201,ATC Instruction,Switch to ground control on 121.9.,35000,430,231,"('26.0765° N', '56.2406° E')"
00:05:30,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",25000,461,236,"('25.2532° N', '55.3657° E')"
00:06:00,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 25000 feet, UAE201.",25000,471,251,"('26.0765° N', '56.2406° E')"
00:06:30,UAE201,Pilot Report,"Established on localizer, runway in sight.",30000,437,299,"('25.2532° N', '55.3657° E')"
00:07:00,UAE201,ATC Instruction,Hold short of runway 12R.,30000,461,307,"('26.0765° N', '56.2406° E')"
00:07:30,UAE201,ATC Instruction,Hold short of runway 12R.,35000,451,118,"('34.0837° N', '74.7973° E')"
00:08:00,UAE201,ATC Instruction,Climb and maintain 30000 feet.,30000,411,158,"('25.2532° N', '55.3657° E')"
00:08:30,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",25000,478,59,"('40.6413° N', '-73.7781° W')"
00:09:00,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 5000 feet, UAE201.",5000,441,263,"('25.2532° N', '55.3657° E')"
00:09:30,UAE201,Pilot Report,Experiencing moderate turbulence at FL350.,35000,466,193,"('34.0837° N', '74.7973° E')"
00:10:00,UAE201,ATC Instruction,Descend to 25000 feet and prepare for approach.,25000,461,114,"('34.0837° N', '74.7973° E')"
00:10:30,UAE201,Pilot Acknowledgment,"Maintaining present speed, UAE201.",5000,449,228,"('28.7041° N', '77.1025° E')"
00:11:00,UAE201,Pilot Report,"Established on localizer, runway in sight.",20000,451,273,"('40.6413° N', '-73.7781° W')"
00:11:30,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",20000,401,284,"('40.6413° N', '-73.7781° W')"
00:12:00,UAE201,ATC Instruction,Expect vectors for ILS approach to runway 13R.,30000,401,178,"('34.0837° N', '74.7973° E')"
00:12:30,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",15000,400,194,"('26.0765° N', '56.2406° E')"
00:13:00,UAE201,Pilot Acknowledgment,"Climb and maintain 15000 feet, UAE201.",15000,477,355,"('34.0837° N', '74.7973° E')"
00:13:30,UAE201,Pilot Acknowledgment,"Descending to 25000 feet, expect ILS runway 27, UAE201.",25000,401,321,"('40.6413° N', '-73.7781° W')"
00:14:00,UAE201,Pilot Report,"Established on localizer, runway in sight.",25000,487,1,"('40.6413° N', '-73.7781° W')"
00:14:30,UAE201,ATC Instruction,Maintain present speed.,10000,455,311,"('28.7041° N', '77.1025° E')"
00:15:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,5000,415,117,"('26.0765° N', '56.2406° E')"
00:15:30,UAE201,ATC Instruction,Contact departure on 124.7.,30000,468,137,"('40.6413° N', '-73.7781° W')"
00:16:00,UAE201,Pilot Acknowledgment,"Climb and maintain 25000 feet, UAE201.",25000,448,113,"('26.0765° N', '56.2406° E')"
00:16:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,25000,444,275,"('28.7041° N', '77.1025° E')"
00:17:00,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",25000,473,113,"('25.2532° N', '55.3657° E')"
00:17:30,UAE201,ATC Instruction,Climb to FL50 and maintain.,5000,450,287,"('40.6413° N', '-73.7781° W')"
00:18:00,UAE201,Pilot Report,"Passing FL350, climbing to FL350.",35000,451,275,"('28.7041° N', '77.1025° E')"
00:18:30,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",35000,406,173,"('28.7041° N', '77.1025° E')"
00:19:00,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",25000,435,51,"('25.2532° N', '55.3657° E')"
00:19:30,UAE201,Pilot Acknowledgment,"Descending to 20000 feet, expect ILS runway 27, UAE201.",20000,450,293,"('26.0765° N', '56.2406° E')"
00:20:00,UAE201,Pilot Report,Experiencing moderate turbulence at FL200.,20000,408,306,"('26.0765° N', '56.2406° E')"
00:20:30,UAE201,Pilot Acknowledgment,"Climbing to FL350, UAE201.",35000,496,34,"('34.0837° N', '74.7973° E')"
00:21:00,UAE201,ATC Instruction,Proceed to final approach and maintain 5000 feet.,5000,448,244,"('34.0837° N', '74.7973° E')"
00:21:30,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",25000,475,10,"('40.6413° N', '-73.7781° W')"
00:22:00,UAE201,ATC Instruction,Cleared for takeoff runway 09L.,10000,417,277,"('26.0765° N', '56.2406° E')"
00:22:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,5000,449,328,"('34.0837° N', '74.7973° E')"
00:23:00,UAE201,ATC Instruction,Contact center on 126.1 for further instructions.,5000,493,9,"('25.2532° N', '55.3657° E')"
00:23:30,UAE201,ATC Instruction,"Descend and maintain 30000 feet, expect ILS approach runway 27.",30000,471,295,"('40.6413° N', '-73.7781° W')"
00:24:00,UAE201,ATC Instruction,Proceed to final approach and maintain 30000 feet.,30000,494,200,"('34.0837° N', '74.7973° E')"
00:24:30,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,25000,500,313,"('28.7041° N', '77.1025° E')"
00:25:00,UAE201,Pilot Report,Requesting vectors for weather avoidance.,25000,489,180,"('40.6413° N', '-73.7781° W')"
00:25:30,UAE201,Pilot Report,Experiencing moderate turbulence at FL350.,35000,401,340,"('34.0837° N', '74.7973° E')"
00:26:00,UAE201,ATC Instruction,Climb and maintain 20000 feet.,20000,452,209,"('34.0837° N', '74.7973° E')"
00:26:30,UAE201,Pilot Acknowledgment,"Climb and maintain 15000 feet, UAE201.",15000,490,262,"('40.6413° N', '-73.7781° W')"
00:27:00,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",25000,410,123,"('28.7041° N', '77.1025° E')"
00:27:30,UAE201,ATC Instruction,Climb and maintain 25000 feet.,25000,459,214,"('28.7041° N', '77.1025° E')"
