Time,Call Sign,Total Weight (kg),Cargo Type,Weight Distribution,Fuel Adjustment Needed
00:00:00,UAE201,193926,Hazardous,Imbalanced,No adjustment needed
00:00:30,UAE201,101860,Normal,Imbalanced,No adjustment needed
00:01:00,UAE201,150220,Hazardous,Balanced,Fuel adjustment required
00:01:30,UAE201,191810,Normal,Imbalanced,No adjustment needed
00:02:00,UAE201,115414,Hazardous,Balanced,No adjustment needed
00:02:30,UAE201,64010,Hazardous,Imbalanced,Fuel adjustment required
00:03:00,UAE201,151056,Normal,Imbalanced,No adjustment needed
00:03:30,UAE201,197060,Hazardous,Imbalanced,No adjustment needed
00:04:00,UAE201,198739,Hazardous,Imbalanced,Fuel adjustment required
00:04:30,UAE201,223291,Normal,Imbalanced,No adjustment needed
00:05:00,UAE201,151669,Normal,Balanced,Fuel adjustment required
00:05:30,UAE201,226940,Hazardous,Imbalanced,No adjustment needed
00:06:00,UAE201,87554,Normal,Balanced,Fuel adjustment required
00:06:30,UAE201,142514,Hazardous,Balanced,Fuel adjustment required
00:07:00,UAE201,139194,Normal,Imbalanced,Fuel adjustment required
00:07:30,UAE201,58922,Normal,Imbalanced,No adjustment needed
00:08:00,UAE201,229721,Normal,Balanced,Fuel adjustment required
00:08:30,UAE201,207074,Hazardous,Balanced,Fuel adjustment required
00:09:00,UAE201,85287,Hazardous,Imbalanced,Fuel adjustment required
00:09:30,UAE201,90746,Hazardous,Imbalanced,No adjustment needed
00:10:00,UAE201,142674,Normal,Balanced,Fuel adjustment required
00:10:30,UAE201,133770,Hazardous,Imbalanced,Fuel adjustment required
00:11:00,UAE201,243710,Hazardous,Imbalanced,No adjustment needed
00:11:30,UAE201,140390,Hazardous,Balanced,No adjustment needed
00:12:00,UAE201,63508,Hazardous,Imbalanced,No adjustment needed
00:12:30,UAE201,221052,Normal,Balanced,Fuel adjustment required
00:13:00,UAE201,204263,Normal,Imbalanced,No adjustment needed
00:13:30,UAE201,64304,Normal,Imbalanced,Fuel adjustment required
00:14:00,UAE201,245810,Normal,Imbalanced,No adjustment needed
00:14:30,UAE201,190441,Normal,Imbalanced,Fuel adjustment required
00:15:00,UAE201,153265,Hazardous,Balanced,No adjustment needed
00:15:30,UAE201,206981,Normal,Balanced,No adjustment needed
00:16:00,UAE201,228754,Normal,Imbalanced,No adjustment needed
00:16:30,UAE201,154812,Hazardous,Balanced,No adjustment needed
00:17:00,UAE201,238065,Normal,Balanced,No adjustment needed
00:17:30,UAE201,86002,Hazardous,Balanced,Fuel adjustment required
00:18:00,UAE201,185401,Normal,Imbalanced,No adjustment needed
00:18:30,UAE201,62449,Normal,Imbalanced,No adjustment needed
00:19:00,UAE201,175242,Hazardous,Balanced,No adjustment needed
