Time,Call Sign,Crew Status,Passenger Status,Actions Taken
00:00:00,UAE201,Exceeded Duty Limits,Normal,None
00:00:30,UAE201,Exceeded Duty Limits,Normal,None
00:01:00,UAE201,Normal,Normal,Emergency Landing Requested
00:01:30,UAE201,Fatigued,Normal,Crew Rotation Initiated
00:02:00,UAE201,Fatigued,Unruly Passenger,None
00:02:30,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
00:03:00,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
00:03:30,UAE201,Exceeded Duty Limits,Normal,Crew Rotation Initiated
00:04:00,UAE201,Fatigued,Normal,None
00:04:30,UAE201,Normal,Normal,Emergency Landing Requested
00:05:00,UAE201,Fatigued,Normal,Emergency Landing Requested
00:05:30,UAE201,Exceeded Duty Limits,Medical Emergency,Emergency Landing Requested
00:06:00,UAE201,Fatigued,Normal,Crew Rotation Initiated
00:06:30,UAE201,Exceeded Duty Limits,Normal,Crew Rotation Initiated
00:07:00,UAE201,Exceeded Duty Limits,Medical Emergency,Emergency Landing Requested
00:07:30,UAE201,Fatigued,Medical Emergency,None
00:08:00,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
00:08:30,UAE201,Exceeded Duty Limits,Unruly Passenger,None
00:09:00,UAE201,Normal,Medical Emergency,Crew Rotation Initiated
00:09:30,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
00:10:00,UAE201,Fatigued,Medical Emergency,None
00:10:30,UAE201,Fatigued,Normal,Emergency Landing Requested
00:11:00,UAE201,Fatigued,Unruly Passenger,Crew Rotation Initiated
00:11:30,UAE201,Fatigued,Normal,None
00:12:00,UAE201,Exceeded Duty Limits,Normal,Emergency Landing Requested
00:12:30,UAE201,Fatigued,Normal,Emergency Landing Requested
00:13:00,UAE201,Normal,Normal,None
00:13:30,UAE201,Exceeded Duty Limits,Normal,Emergency Landing Requested
00:14:00,UAE201,Exceeded Duty Limits,Medical Emergency,None
00:14:30,UAE201,Normal,Medical Emergency,Emergency Landing Requested
00:15:00,UAE201,Exceeded Duty Limits,Normal,None
00:15:30,UAE201,Fatigued,Normal,None
