Scenario,Step-by-Step Instructions
Cabin Pressure Loss,"Descend to 10,000 feet, deploy oxygen masks, contact ATC for emergency landing."
Cabin Pressure Loss,"Descend to 10,000 feet, deploy oxygen masks, contact ATC for emergency landing."
De-Pressurization,"Descend to 10,000 feet, deploy oxygen masks, notify ATC for emergency landing."
Engine Overheating,"Reduce thrust, increase airspeed for cooling, prepare for possible shutdown, notify ATC."
Landing Gear Failure,"Attempt manual extension, prepare for emergency landing, conduct visual inspection if needed."
Fuel Leak Detected,"Monitor fuel levels, declare emergency, initiate fuel dump if necessary, prepare for emergency landing."
Smoke in Cabin,"Activate smoke removal procedure, prepare for emergency landing, notify ATC."
Engine Overheating,"Reduce thrust, increase airspeed for cooling, prepare for possible shutdown, notify ATC."
Hydraulic Failure,"Switch to backup system, reduce load, prepare for manual landing."
Bird Strike,"Assess engine damage, request immediate return, prepare for possible emergency landing."
Cabin Pressure Loss,"Descend to 10,000 feet, deploy oxygen masks, contact ATC for emergency landing."
Bird Strike,"Assess engine damage, request immediate return, prepare for possible emergency landing."
Cabin Pressure Loss,"Descend to 10,000 feet, deploy oxygen masks, contact ATC for emergency landing."
Unstable Approach Detected,"Abort landing, execute go-around, re-align for a second attempt, notify ATC."
Fire in Engine,"Shut down affected engine, initiate fire suppression, prepare for emergency landing."
Unstable Approach Detected,"Abort landing, execute go-around, re-align for a second attempt, notify ATC."
Electrical Failure,"Switch to backup power, reduce non-essential loads, prepare for landing."
Cabin Pressure Loss,"Descend to 10,000 feet, deploy oxygen masks, contact ATC for emergency landing."
Medical Emergency,"Request priority landing, notify ground medical services, continue descent."
Navigation System Failure,"Switch to backup navigation, notify ATC, prepare for manual navigation and landing."
Unstable Approach Detected,"Abort landing, execute go-around, re-align for a second attempt, notify ATC."
Navigation System Failure,"Switch to backup navigation, notify ATC, prepare for manual navigation and landing."
Mid-Air Collision Avoidance,"Execute evasive maneuver, regain flight path, notify ATC immediately."
De-Pressurization,"Descend to 10,000 feet, deploy oxygen masks, notify ATC for emergency landing."
Hydraulic Failure,"Switch to backup system, reduce load, prepare for manual landing."
Passenger Disturbance,"Notify cabin crew, consider diversion if disturbance persists, inform ground personnel for landing."
Hydraulic Failure,"Switch to backup system, reduce load, prepare for manual landing."
Fuel Leak Detected,"Monitor fuel levels, declare emergency, initiate fuel dump if necessary, prepare for emergency landing."
Fire in Engine,"Shut down affected engine, initiate fire suppression, prepare for emergency landing."
Fuel Leak Detected,"Monitor fuel levels, declare emergency, initiate fuel dump if necessary, prepare for emergency landing."
Hydraulic Failure,"Switch to backup system, reduce load, prepare for manual landing."
Unstable Approach Detected,"Abort landing, execute go-around, re-align for a second attempt, notify ATC."
Fire in Engine,"Shut down affected engine, initiate fire suppression, prepare for emergency landing."
Hydraulic Failure,"Switch to backup system, reduce load, prepare for manual landing."
Smoke in Cabin,"Activate smoke removal procedure, prepare for emergency landing, notify ATC."
Passenger Disturbance,"Notify cabin crew, consider diversion if disturbance persists, inform ground personnel for landing."
Mid-Air Collision Avoidance,"Execute evasive maneuver, regain flight path, notify ATC immediately."
Navigation System Failure,"Switch to backup navigation, notify ATC, prepare for manual navigation and landing."
De-Pressurization,"Descend to 10,000 feet, deploy oxygen masks, notify ATC for emergency landing."
Fire in Engine,"Shut down affected engine, initiate fire suppression, prepare for emergency landing."
De-Pressurization,"Descend to 10,000 feet, deploy oxygen masks, notify ATC for emergency landing."
Cabin Pressure Loss,"Descend to 10,000 feet, deploy oxygen masks, contact ATC for emergency landing."
Electrical Failure,"Switch to backup power, reduce non-essential loads, prepare for landing."
Fire in Engine,"Shut down affected engine, initiate fire suppression, prepare for emergency landing."
Fuel Leak Detected,"Monitor fuel levels, declare emergency, initiate fuel dump if necessary, prepare for emergency landing."
Bird Strike,"Assess engine damage, request immediate return, prepare for possible emergency landing."
De-Pressurization,"Descend to 10,000 feet, deploy oxygen masks, notify ATC for emergency landing."
