Manual Section,Scenario,Instructions
AOM Section 3,Electrical Failure,"Advise cabin crew of situation, maintain visual contact with other aircraft."
AOM Section 10,Stall Warning,"Avoid banking, maintain wings level, communicate with co-pilot."
QRH Section 1,Turbulence,"Reduce speed to turbulence penetration speed, secure cabin, prepare for altitude change."
AOM Section 7,Fuel Leak,"Monitor fuel levels closely, communicate fuel status to ATC."
AOM Section 1,Fire in Engine,"Shut down affected engine, activate fire suppression system, prepare for emergency landing."
FCOM Section 3,Emergency Evacuation,"Deploy slides if necessary, account for all passengers and crew."
AOM Section 8,Bird Strike,"Inform ATC of bird strike, request immediate return to airport if necessary."
QRH Section 1,Fuel Leak,"Isolate affected fuel tank, crossfeed from other tanks, calculate remaining fuel for diversion."
FCOM Section 5,Fuel Leak,"Monitor fuel levels closely, communicate fuel status to ATC."
AOM Section 7,Fuel Leak,"Declare emergency, avoid areas where fuel leak could cause hazard, prepare for immediate landing."
AOM Section 9,Stall Warning,"Verify stall warning accuracy, monitor airspeed and altitude, prepare for possible emergency descent."
FCOM Section 5,Smoke in Cabin,"Declare emergency, initiate cabin smoke removal procedures, divert to nearest airport."
QRH Section 3,Hydraulic Failure,"Limit control inputs to essential movements, monitor hydraulic pressure levels."
AOM Section 10,Brake Failure,"Consider diverting to airport with longer runway, prepare for possible runway excursion."
AOM Section 10,Landing Gear Malfunction,"Inform ATC of gear issue, perform alternate gear extension procedures."
FCOM Section 4,Icing Conditions,"Report icing conditions to ATC, request vector to exit icing area, perform de-icing procedures."
AOM Section 10,Bird Strike,"Assess aircraft for damage, monitor engine performance, prepare for possible diversion."
QRH Section 2,Smoke in Cabin,"Advise cabin crew to locate source of smoke, prepare passengers for possible evacuation."
AOM Section 10,Engine Overheating,"Adjust fuel mixture, increase airspeed to cool engine, declare emergency if temperature rises."
AOM Section 1,Bird Strike,"Assess aircraft for damage, monitor engine performance, prepare for possible diversion."
AOM Section 1,Bird Strike,"Check for abnormal vibrations, perform engine checks, advise cabin crew."
AOM Section 5,Turbulence,"Reduce speed to turbulence penetration speed, secure cabin, prepare for altitude change."
FCOM Section 3,Engine Overheating,"Check for oil pressure anomalies, consider engine shutdown if overheating persists."
FCOM Section 2,Engine Failure,"Monitor engine parameters, shut down affected engine if necessary, advise cabin crew."
AOM Section 8,Runway Overrun,"Inform ATC, avoid obstacles beyond runway, assess aircraft damage after stop."
AOM Section 7,Navigation System Failure,"Switch to backup navigation system, continue flight under manual control, prepare for manual landing."
AOM Section 10,Turbulence,"Notify passengers, adjust flight path to avoid turbulent area, monitor weather updates."
AOM Section 10,Stall Warning,"Verify stall warning accuracy, monitor airspeed and altitude, prepare for possible emergency descent."
QRH Section 2,Brake Failure,"Plan for longer landing rollout, use reverse thrust and spoilers effectively, inform ATC."
FCOM Section 1,Instrument Failure,"Avoid abrupt maneuvers, monitor other instruments for inconsistencies."
FCOM Section 1,Engine Overheating,"Check for oil pressure anomalies, consider engine shutdown if overheating persists."
AOM Section 6,Decompression,"Check cabin pressure indicators, prepare for possible hypoxia symptoms, divert to suitable airport."
AOM Section 1,Hydraulic Failure,"Switch to backup hydraulic system, contact ATC for nearest airport diversion."
AOM Section 9,Smoke in Cabin,"Don smoke goggles if necessary, coordinate with ATC for priority landing."
