Time,Call Sign,Altitude (ft),Speed (knots),Engine Performance,Deviation from Flight Path (nm),Fuel Efficiency (kg/hour)
00:00:00,UAE201,14738,409,Normal,1,911
00:00:30,UAE201,14770,440,Abnormal,1,776
00:01:00,UAE201,17146,496,Abnormal,4,2726
00:01:30,UAE201,22642,456,Abnormal,3,2850
00:02:00,UAE201,39050,426,Normal,5,2167
00:02:30,UAE201,38633,481,Abnormal,0,809
00:03:00,UAE201,14164,460,Abnormal,3,1043
00:03:30,UAE201,36122,408,Abnormal,1,409
00:04:00,UAE201,18439,435,Abnormal,0,1577
00:04:30,UAE201,26180,450,Abnormal,3,358
00:05:00,UAE201,6927,428,Normal,1,2146
00:05:30,UAE201,14300,428,Normal,1,112
00:06:00,UAE201,15332,477,Abnormal,0,2333
00:06:30,UAE201,9443,421,Abnormal,2,2347
00:07:00,UAE201,39005,474,Abnormal,5,2023
00:07:30,UAE201,15700,440,Normal,3,543
00:08:00,UAE201,28992,479,Abnormal,3,1301
00:08:30,UAE201,16531,457,Abnormal,5,1258
00:09:00,UAE201,25104,497,Normal,1,240
00:09:30,UAE201,12098,447,Abnormal,1,1590
00:10:00,UAE201,17513,443,Normal,3,1039
00:10:30,UAE201,12181,494,Abnormal,0,713
00:11:00,UAE201,20965,432,Normal,3,2676
00:11:30,UAE201,26115,427,Normal,3,2142
00:12:00,UAE201,36787,401,Abnormal,0,227
00:12:30,UAE201,13793,476,Abnormal,2,351
00:13:00,UAE201,39387,429,Abnormal,5,1517
00:13:30,UAE201,6506,495,Abnormal,4,1361
00:14:00,UAE201,36077,403,Normal,5,142
00:14:30,UAE201,23970,475,Abnormal,4,502
00:15:00,UAE201,38514,413,Normal,5,2081
00:15:30,UAE201,17263,435,Normal,2,2324
00:16:00,UAE201,35093,444,Abnormal,3,1824
00:16:30,UAE201,9893,499,Normal,4,543
00:17:00,UAE201,32916,414,Normal,3,398
00:17:30,UAE201,27506,481,Abnormal,2,2392
00:18:00,UAE201,6410,497,Abnormal,1,2277
00:18:30,UAE201,13510,493,Abnormal,4,2896
00:19:00,UAE201,7150,498,Abnormal,5,2688
00:19:30,UAE201,12126,477,Normal,3,873
00:20:00,UAE201,25399,443,Normal,1,1568
00:20:30,UAE201,34216,410,Abnormal,1,661
00:21:00,UAE201,30933,449,Normal,5,1804
00:21:30,UAE201,18079,404,Abnormal,1,647
00:22:00,UAE201,34425,419,Abnormal,5,2391
00:22:30,UAE201,31639,485,Abnormal,5,1887
00:23:00,UAE201,16234,469,Normal,5,930
00:23:30,UAE201,23984,497,Normal,0,2991
00:24:00,UAE201,6696,460,Normal,3,277
00:24:30,UAE201,15936,472,Normal,1,1583
00:25:00,UAE201,39991,417,Normal,1,2976
00:25:30,UAE201,17504,443,Normal,4,671
00:26:00,UAE201,36345,462,Normal,2,2750
00:26:30,UAE201,7135,441,Abnormal,3,1772
00:27:00,UAE201,28889,433,Abnormal,2,1687
00:27:30,UAE201,33472,481,Normal,5,902
00:28:00,UAE201,36712,468,Normal,4,883
00:28:30,UAE201,26791,453,Normal,5,784
00:29:00,UAE201,35354,472,Normal,1,748
00:29:30,UAE201,33701,459,Normal,1,2866
00:30:00,UAE201,11627,429,Abnormal,5,2071
00:30:30,UAE201,19193,460,Normal,5,1389
00:31:00,UAE201,8958,497,Abnormal,5,2825
00:31:30,UAE201,18520,499,Abnormal,3,2990
00:32:00,UAE201,33098,486,Normal,5,994
00:32:30,UAE201,24588,424,Abnormal,1,1409
00:33:00,UAE201,30646,468,Normal,2,1942
00:33:30,UAE201,33205,487,Abnormal,0,846
00:34:00,UAE201,29204,442,Normal,4,2188
00:34:30,UAE201,28083,498,Abnormal,5,337
00:35:00,UAE201,15948,456,Normal,1,2930
00:35:30,UAE201,31060,456,Normal,0,2153
00:36:00,UAE201,13495,423,Abnormal,0,1342
00:36:30,UAE201,39845,447,Normal,3,1481
00:37:00,UAE201,30133,423,Abnormal,5,1168
00:37:30,UAE201,12754,401,Abnormal,5,2117
00:38:00,UAE201,39395,450,Normal,1,1377
00:38:30,UAE201,13674,427,Abnormal,2,444
00:39:00,UAE201,11892,404,Normal,5,1658
00:39:30,UAE201,8435,442,Normal,1,160
00:40:00,UAE201,9909,489,Abnormal,0,1239
00:40:30,UAE201,10558,479,Normal,5,578
00:41:00,UAE201,33308,484,Abnormal,0,922
00:41:30,UAE201,30039,412,Normal,5,1777
00:42:00,UAE201,21898,406,Abnormal,1,2873
00:42:30,UAE201,25810,439,Abnormal,1,758
00:43:00,UAE201,32926,490,Abnormal,0,111
00:43:30,UAE201,6956,426,Normal,4,1461
00:44:00,UAE201,9559,491,Abnormal,2,184
00:44:30,UAE201,7602,416,Abnormal,1,2806
00:45:00,UAE201,23992,484,Abnormal,3,2036
00:45:30,UAE201,38733,430,Normal,3,2184
00:46:00,UAE201,17517,432,Abnormal,0,1410
00:46:30,UAE201,13710,499,Abnormal,4,484
00:47:00,UAE201,31003,404,Normal,4,510
00:47:30,UAE201,36421,497,Abnormal,1,2108
00:48:00,UAE201,5284,448,Normal,4,2085
00:48:30,UAE201,38051,446,Abnormal,4,1852
00:49:00,UAE201,38200,454,Abnormal,2,1318
00:49:30,UAE201,14437,419,Normal,0,1985
00:50:00,UAE201,26448,470,Abnormal,5,976
00:50:30,UAE201,17108,420,Abnormal,1,229
00:51:00,UAE201,16835,500,Normal,2,1289
00:51:30,UAE201,15879,465,Abnormal,0,1692
00:52:00,UAE201,16997,477,Abnormal,1,2596
00:52:30,UAE201,25209,469,Abnormal,2,1486
