Time,Call Sign,Original Route,Updated Route,Fuel Burn Impact (kg),ATC Clearance
00:00:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,563,Cleared
00:00:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,558,Requesting clearance
00:01:00,UAE201,"('34.0837° N', '74.7973° E')",No change,981,Awaiting clearance
00:01:30,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,805,Awaiting clearance
00:02:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,228,Requesting clearance
00:02:30,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,732,Requesting clearance
00:03:00,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,298,Requesting clearance
00:03:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,709,Requesting clearance
00:04:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,695,Awaiting clearance
00:04:30,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,617,Awaiting clearance
00:05:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,238,Requesting clearance
00:05:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,555,Denied clearance
00:06:00,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,512,Awaiting clearance
00:06:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,805,Requesting clearance
00:07:00,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,588,Requesting clearance
00:07:30,UAE201,"('28.7041° N', '77.1025° E')",No change,399,Awaiting clearance
00:08:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,538,Awaiting clearance
00:08:30,UAE201,"('28.7041° N', '77.1025° E')",No change,781,Denied clearance
00:09:00,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,963,Denied clearance
00:09:30,UAE201,"('25.2532° N', '55.3657° E')",No change,311,Denied clearance
00:10:00,UAE201,"('40.6413° N', '-73.7781° W')",No change,851,Awaiting clearance
00:10:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,327,Cleared
00:11:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,785,Awaiting clearance
00:11:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,219,Requesting clearance
00:12:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,911,Cleared
00:12:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,780,Cleared
00:13:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,364,Denied clearance
00:13:30,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,873,Awaiting clearance
00:14:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,294,Denied clearance
00:14:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,772,Awaiting clearance
00:15:00,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,397,Denied clearance
00:15:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,254,Awaiting clearance
00:16:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,700,Cleared
