Time,Call Sign,Current Fuel (kg),Expected Fuel Upon Arrival (kg),Fuel Consumption Rate (kg/h),Remarks
00:00:00,UAE201,12740,12808,2987,Normal fuel burn.
00:00:30,UAE201,6897,7027,2622,Normal fuel burn.
00:01:00,UAE201,21684,19410,4378,Normal fuel burn.
00:01:30,UAE201,29401,10083,3420,Normal fuel burn.
00:02:00,UAE201,24389,5825,3145,Normal fuel burn.
00:02:30,UAE201,8898,9840,3593,Normal fuel burn.
00:03:00,UAE201,10954,7252,4367,Normal fuel burn.
00:03:30,UAE201,12297,11087,2770,Normal fuel burn.
00:04:00,UAE201,7568,15384,3768,Normal fuel burn.
00:04:30,UAE201,10589,19048,2012,Normal fuel burn.
00:05:00,UAE201,20174,7264,3193,Normal fuel burn.
00:05:30,UAE201,14426,7436,4218,Normal fuel burn.
00:06:00,UAE201,10896,11459,2895,Normal fuel burn.
00:06:30,UAE201,23622,9621,3523,Normal fuel burn.
00:07:00,UAE201,10408,18530,4314,Normal fuel burn.
00:07:30,UAE201,13342,9352,2220,Normal fuel burn.
00:08:00,UAE201,22615,13860,3647,Normal fuel burn.
00:08:30,UAE201,15572,6836,4723,Normal fuel burn.
00:09:00,UAE201,7081,13565,2863,Normal fuel burn.
00:09:30,UAE201,9850,6398,2036,Normal fuel burn.
00:10:00,UAE201,8651,8782,2235,Normal fuel burn.
00:10:30,UAE201,29247,14987,3934,Normal fuel burn.
00:11:00,UAE201,9139,8124,2722,Normal fuel burn.
00:11:30,UAE201,13482,8102,4746,Normal fuel burn.
00:12:00,UAE201,9260,9225,3854,Normal fuel burn.
00:12:30,UAE201,28741,8984,3196,Normal fuel burn.
00:13:00,UAE201,16257,8802,2591,Normal fuel burn.
00:13:30,UAE201,20920,11684,4052,Normal fuel burn.
00:14:00,UAE201,13145,10661,2054,Normal fuel burn.
00:14:30,UAE201,21092,5994,4393,Normal fuel burn.
00:15:00,UAE201,23323,10801,4880,Normal fuel burn.
00:15:30,UAE201,23929,9324,2276,Normal fuel burn.
00:16:00,UAE201,20227,19960,4133,Normal fuel burn.
00:16:30,UAE201,10161,11806,4802,Normal fuel burn.
00:17:00,UAE201,12531,11360,4773,Normal fuel burn.
