Date,Incident Type,Actions Taken,Delay Impact (minutes),Remarks
1900-01-01,Engine Failure,"Declared emergency, initiated emergency landing.",23,"Incident: Engine Failure, Action: Declared emergency, initiated emergency landing."
1900-01-01,Smoke in Cabin,"Declared emergency, diverted to nearest airport, passengers evacuated.",63,"Incident: Smoke in Cabin, Action: Declared emergency, diverted to nearest airport, passengers evacuated."
1900-01-01,Medical Emergency,"Requested priority landing, medical personnel on standby.",15,"Incident: Medical Emergency, Action: Requested priority landing, medical personnel on standby."
1900-01-01,Smoke in Cabin,"Declared emergency, diverted to nearest airport, passengers evacuated.",30,"Incident: Smoke in Cabin, Action: Declared emergency, diverted to nearest airport, passengers evacuated."
1900-01-01,Navigation System Failure,"Switched to backup navigation systems, continued flight under manual control.",58,"Incident: Navigation System Failure, Action: Switched to backup navigation systems, continued flight under manual control."
1900-01-01,Medical Emergency,"Requested priority landing, medical personnel on standby.",70,"Incident: Medical Emergency, Action: Requested priority landing, medical personnel on standby."
1900-01-01,Unstable Approach Detected,"Conducted go-around, prepared for second approach.",32,"Incident: Unstable Approach Detected, Action: Conducted go-around, prepared for second approach."
1900-01-01,Smoke in Cabin,"Declared emergency, diverted to nearest airport, passengers evacuated.",11,"Incident: Smoke in Cabin, Action: Declared emergency, diverted to nearest airport, passengers evacuated."
1900-01-01,Fuel Leak Detected,"Declared emergency, diverted to alternate airport, initiated fuel dumping.",45,"Incident: Fuel Leak Detected, Action: Declared emergency, diverted to alternate airport, initiated fuel dumping."
1900-01-01,Passenger Disturbance,"Crew handled disturbance, notified ATC, police on standby at destination.",2,"Incident: Passenger Disturbance, Action: Crew handled disturbance, notified ATC, police on standby at destination."
1900-01-01,Structural Damage Due to Turbulence,"Requested emergency landing, conducted visual inspection after landing.",9,"Incident: Structural Damage Due to Turbulence, Action: Requested emergency landing, conducted visual inspection after landing."
1900-01-01,Wind Shear on Approach,"Aborted landing, climbed to safe altitude, awaited further instructions.",50,"Incident: Wind Shear on Approach, Action: Aborted landing, climbed to safe altitude, awaited further instructions."
1900-01-01,Smoke in Cabin,"Declared emergency, diverted to nearest airport, passengers evacuated.",24,"Incident: Smoke in Cabin, Action: Declared emergency, diverted to nearest airport, passengers evacuated."
1900-01-01,Medical Emergency,"Requested priority landing, medical personnel on standby.",43,"Incident: Medical Emergency, Action: Requested priority landing, medical personnel on standby."
1900-01-01,Mid-Air Collision Avoidance Maneuver,"Performed evasive maneuver, resumed normal operations after clearance.",22,"Incident: Mid-Air Collision Avoidance Maneuver, Action: Performed evasive maneuver, resumed normal operations after clearance."
1900-01-01,Emergency Descent,"Rapid descent initiated due to medical emergency, cleared by ATC.",65,"Incident: Emergency Descent, Action: Rapid descent initiated due to medical emergency, cleared by ATC."
1900-01-01,Runway Incursion,"Aborted takeoff, instructed to hold position, waited for clearance.",11,"Incident: Runway Incursion, Action: Aborted takeoff, instructed to hold position, waited for clearance."
1900-01-01,Mid-Air Collision Avoidance Maneuver,"Performed evasive maneuver, resumed normal operations after clearance.",70,"Incident: Mid-Air Collision Avoidance Maneuver, Action: Performed evasive maneuver, resumed normal operations after clearance."
1900-01-01,Emergency Descent,"Rapid descent initiated due to medical emergency, cleared by ATC.",80,"Incident: Emergency Descent, Action: Rapid descent initiated due to medical emergency, cleared by ATC."
1900-01-01,Landing Gear Malfunction,"Conducted low approach for visual inspection, prepared for emergency landing.",77,"Incident: Landing Gear Malfunction, Action: Conducted low approach for visual inspection, prepared for emergency landing."
