Time,NOTAM,Position
00:01:30,Airspace restriction over area OM001 for VIP movement from 1200Z to 1600Z.,"('26.0765° N', '56.2406° E')"
00:06:00,Runway 05R scheduled for emergency repair between 0400Z and 0600Z.,"('26.0765° N', '56.2406° E')"
00:10:30,Navigation aid VOR XYZ out of service until further notice.,"('40.6413° N', '-73.7781° W')"
00:19:30,Runway 09L closed for maintenance from 2200Z to 0600Z.,"('34.0837° N', '74.7973° E')"
00:21:00,Airspace restriction over area OM001 for VIP movement from 1200Z to 1600Z.,"('25.2532° N', '55.3657° E')"
00:41:00,Runway 05R scheduled for emergency repair between 0400Z and 0600Z.,"('34.0837° N', '74.7973° E')"
00:44:30,Newly activated restricted area OM556 due to drone operations from 0800Z to 1600Z.,"('40.6413° N', '-73.7781° W')"
00:50:30,Expect delays due to heavy air traffic at KJFK between 1500Z and 1700Z.,"('25.2532° N', '55.3657° E')"
00:51:30,Runway 05R scheduled for emergency repair between 0400Z and 0600Z.,"('28.7041° N', '77.1025° E')"
01:08:00,Airspace closure over OM500 due to air show from 0900Z to 1200Z.,"('40.6413° N', '-73.7781° W')"
01:21:30,Airspace restriction over area OM001 for VIP movement from 1200Z to 1600Z.,"('25.2532° N', '55.3657° E')"
01:26:30,Airspace restriction over area OM001 for VIP movement from 1200Z to 1600Z.,"('28.7041° N', '77.1025° E')"
01:29:30,Airspace restriction over area OM001 for VIP movement from 1200Z to 1600Z.,"('25.2532° N', '55.3657° E')"
01:41:00,Airspace closure over OM500 due to air show from 0900Z to 1200Z.,"('40.6413° N', '-73.7781° W')"
02:31:00,Expect delays due to heavy air traffic at KJFK between 1500Z and 1700Z.,"('28.7041° N', '77.1025° E')"
02:37:30,Taxiway Bravo closed for resurfacing from 1200Z to 1800Z.,"('25.2532° N', '55.3657° E')"
03:04:30,Expect delays due to heavy air traffic at KJFK between 1500Z and 1700Z.,"('34.0837° N', '74.7973° E')"
03:19:30,Runway 18R closed for snow removal until further notice.,"('34.0837° N', '74.7973° E')"
03:29:30,Runway 18R closed for snow removal until further notice.,"('26.0765° N', '56.2406° E')"
03:32:30,Runway 05R scheduled for emergency repair between 0400Z and 0600Z.,"('40.6413° N', '-73.7781° W')"
03:43:30,GPS interference reported near waypoint DELTA from 0300Z to 0600Z.,"('28.7041° N', '77.1025° E')"
03:46:30,"Runway 13L under inspection, expect delays.","('40.6413° N', '-73.7781° W')"
03:59:00,Newly activated restricted area OM556 due to drone operations from 0800Z to 1600Z.,"('26.0765° N', '56.2406° E')"
04:09:00,Newly activated restricted area OM556 due to drone operations from 0800Z to 1600Z.,"('28.7041° N', '77.1025° E')"
04:21:00,"Runway 22L temporarily closed for lighting system upgrade, expected reopening at 0200Z.","('25.2532° N', '55.3657° E')"
04:25:00,Runway 09L closed for maintenance from 2200Z to 0600Z.,"('34.0837° N', '74.7973° E')"
04:36:00,GPS interference reported near waypoint DELTA from 0300Z to 0600Z.,"('25.2532° N', '55.3657° E')"
04:42:00,Runway 18R closed for snow removal until further notice.,"('28.7041° N', '77.1025° E')"
04:56:00,Temporary flight restriction active over area OM999 due to military activity.,"('34.0837° N', '74.7973° E')"
05:00:00,Runway 05R scheduled for emergency repair between 0400Z and 0600Z.,"('26.0765° N', '56.2406° E')"
05:14:30,Runway 05R scheduled for emergency repair between 0400Z and 0600Z.,"('25.2532° N', '55.3657° E')"
05:57:00,Runway 18R closed for snow removal until further notice.,"('25.2532° N', '55.3657° E')"
06:02:00,Taxiway Bravo closed for resurfacing from 1200Z to 1800Z.,"('26.0765° N', '56.2406° E')"
06:04:30,Navigation aid VOR ABC will be under maintenance from 1000Z to 1400Z.,"('40.6413° N', '-73.7781° W')"
