Time (UTC),Flight Number,Call Sign,Aircraft Type,Communication Type,Communication Content,Altitude (ft),Speed (knots),Heading (degrees),"Position (Latitude°, Longitude°)",Weather Update,NOTAMs,Navigational Information,Flight Manual Reference,Summary
06:00:00,FDB177,FDB177,Airbus A380,Pilot Report,"Runway vacated, taxiing to gate.",30000,99,237,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:00:30,FDB168,FDB168,Boeing 737 MAX,Pilot Report,"Runway vacated, taxiing to gate.",35000,299,66,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:01:00,ETD195,ETD195,Boeing 737 MAX,ATC Instruction,Climb and maintain 35000 feet.,35000,239,256,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:01:30,ABY179,ABY179,Airbus A320,NOTAM Alert,GPS interference reported near waypoint ORSAR.,41000,443,222,"24.4560° N, 54.6374° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:02:00,UAE173,UAE173,Airbus A320,ATC Instruction,Maintain present speed.,15000,364,356,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:02:30,UAE131,UAE131,Airbus A380,Weather Update,Wind shear reported on final approach runway 30L.,10000,73,159,"24.4560° N, 54.6374° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:03:00,UAE126,UAE126,Boeing 787,ATC Instruction,Proceed direct to waypoint DESDI.,10000,368,104,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:03:30,FDB106,FDB106,Boeing 777,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,5000,260,82,"25.2532° N, 55.3657° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:04:00,UAE108,UAE108,Airbus A380,ATC Instruction,Contact departure on 125.5.,15000,218,115,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:04:30,ABY133,ABY133,Boeing 777,NOTAM Alert,Temporary flight restriction active over area OM999.,20000,452,352,"26.0765° N, 56.2406° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:05:00,ETD189,ETD189,Airbus A320,ATC Instruction,"Descend and maintain 10000 feet, expect ILS approach runway 09L.",10000,20,162,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
