Time,Call Sign,Nearby Aircraft,Distance (nm),Bearing (degrees),ATC Instructions
00:00:00,UAE201,"Emirates329, JBU905, AFR182",8,66,Maintain separation
00:00:30,UAE201,"UAL116, Lufthansa507, Qantas515",11,329,Increase speed to avoid traffic conflict
00:01:00,UAE201,"KLM197, AFR258, Qantas305",1,353,Climb to avoid traffic
00:01:30,UAE201,"SWA975, BAW528, Qantas892",11,180,Descend to avoid traffic
00:02:00,UAE201,"UAL176, AFR907, Qantas955",11,100,Increase speed to avoid traffic conflict
00:02:30,UAE201,"Lufthansa663, KLM715, Emirates743",8,9,Climb to avoid traffic
00:03:00,UAE201,"Qantas164, Emirates236, AAL602",12,334,Increase speed to avoid traffic conflict
00:03:30,UAE201,"Lufthansa937, UAL471, AAL720",6,147,Descend to avoid traffic
00:04:00,UAE201,"BAW528, AFR680, JBU420",6,210,Climb to avoid traffic
00:04:30,UAE201,"Lufthansa350, BAW710, AFR604",7,199,Climb to avoid traffic
00:05:00,UAE201,"BAW610, KLM186, Lufthansa327",1,66,Climb to avoid traffic
00:05:30,UAE201,"Qantas336, UAL731, JBU750",13,232,Climb to avoid traffic
00:06:00,UAE201,"SWA577, JBU720, Qantas297",1,283,Maintain separation
00:06:30,UAE201,"DAL999, AAL861, Qantas718",2,216,Climb to avoid traffic
00:07:00,UAE201,"Emirates516, AAL646, JBU352",2,24,Increase speed to avoid traffic conflict
00:07:30,UAE201,"Emirates504, Lufthansa802, DAL813",10,238,Increase speed to avoid traffic conflict
00:08:00,UAE201,"Emirates119, KLM931, AAL317",8,44,Increase speed to avoid traffic conflict
00:08:30,UAE201,"BAW426, Lufthansa284, KLM192",1,34,Maintain separation
00:09:00,UAE201,"DAL853, Emirates787, KLM118",10,280,Descend to avoid traffic
00:09:30,UAE201,"AAL517, BAW896, JBU146",15,278,Increase speed to avoid traffic conflict
00:10:00,UAE201,"Emirates136, Qantas785, KLM598",15,59,Increase speed to avoid traffic conflict
00:10:30,UAE201,"BAW241, SWA243, Lufthansa941",2,95,Climb to avoid traffic
00:11:00,UAE201,"AAL246, Lufthansa339, UAL362",7,169,Turn left for traffic avoidance
00:11:30,UAE201,"SWA555, UAL682, AAL658",13,179,Increase speed to avoid traffic conflict
00:12:00,UAE201,"JBU109, Emirates606, KLM128",7,65,Descend to avoid traffic
00:12:30,UAE201,"SWA801, AFR798, KLM578",5,65,Maintain separation
00:13:00,UAE201,"UAL170, JBU786, SWA202",11,194,Climb to avoid traffic
00:13:30,UAE201,"Emirates465, KLM225, JBU306",11,313,Turn left for traffic avoidance
00:14:00,UAE201,"Lufthansa453, SWA897, AFR297",14,179,Turn left for traffic avoidance
