Time,Call Sign,Communication Status,Signal Strength,Required Action
00:00:00,UAE201,Intermittent,No Signal,Switch to backup frequency
00:00:30,UAE201,Normal,No Signal,Request ATC relay
00:01:00,UAE201,Normal,No Signal,Switch to backup frequency
00:01:30,UAE201,Intermittent,Strong,No action
00:02:00,UAE201,Intermittent,Strong,No action
00:02:30,UAE201,Failed,Strong,Switch to backup frequency
00:03:00,UAE201,Intermittent,Strong,Switch to backup frequency
00:03:30,UAE201,Intermittent,Strong,Request ATC relay
00:04:00,UAE201,Failed,Weak,Switch to backup frequency
00:04:30,UAE201,Failed,Strong,No action
00:05:00,UAE201,Intermittent,No Signal,Switch to backup frequency
00:05:30,UAE201,Failed,Weak,Request ATC relay
00:06:00,UAE201,Intermittent,Strong,No action
00:06:30,UAE201,Intermittent,Strong,Request ATC relay
00:07:00,UAE201,Failed,Weak,No action
00:07:30,UAE201,Failed,Strong,Request ATC relay
00:08:00,UAE201,Normal,Strong,Request ATC relay
00:08:30,UAE201,Normal,No Signal,Switch to backup frequency
00:09:00,UAE201,Normal,No Signal,Switch to backup frequency
00:09:30,UAE201,Normal,Weak,Switch to backup frequency
00:10:00,UAE201,Failed,Weak,No action
00:10:30,UAE201,Intermittent,No Signal,Request ATC relay
00:11:00,UAE201,Intermittent,Strong,No action
00:11:30,UAE201,Normal,Strong,Switch to backup frequency
00:12:00,UAE201,Normal,Weak,Switch to backup frequency
00:12:30,UAE201,Failed,No Signal,Request ATC relay
00:13:00,UAE201,Failed,No Signal,Request ATC relay
00:13:30,UAE201,Failed,No Signal,Switch to backup frequency
00:14:00,UAE201,Failed,No Signal,Switch to backup frequency
00:14:30,UAE201,Intermittent,Strong,No action
00:15:00,UAE201,Failed,Strong,Request ATC relay
00:15:30,UAE201,Normal,Strong,Request ATC relay
00:16:00,UAE201,Normal,Strong,Switch to backup frequency
00:16:30,UAE201,Normal,Strong,Switch to backup frequency
00:17:00,UAE201,Intermittent,No Signal,Switch to backup frequency
00:17:30,UAE201,Normal,Strong,Switch to backup frequency
00:18:00,UAE201,Normal,Weak,No action
00:18:30,UAE201,Normal,Weak,Switch to backup frequency
00:19:00,UAE201,Failed,Strong,Switch to backup frequency
