Time,Position,Weather Condition,Wind Speed,Temperature
00:00:00,"('40.6413° N', '-73.7781° W')",Clear,15 knots,22°C
00:00:30,"('40.6413° N', '-73.7781° W')",Fog,20 knots,26°C
00:01:00,"('28.7041° N', '77.1025° E')",Clear,20 knots,35°C
00:01:30,"('28.7041° N', '77.1025° E')",Thunderstorms,10 knots,25°C
00:02:00,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,32°C
00:02:30,"('34.0837° N', '74.7973° E')",Fog,15 knots,22°C
00:03:00,"('26.0765° N', '56.2406° E')",Icing Conditions,15 knots,34°C
00:03:30,"('26.0765° N', '56.2406° E')",Thunderstorms,15 knots,28°C
00:04:00,"('26.0765° N', '56.2406° E')",Thunderstorms,15 knots,32°C
00:04:30,"('28.7041° N', '77.1025° E')",Fog,20 knots,25°C
00:05:00,"('40.6413° N', '-73.7781° W')",Fog,20 knots,30°C
00:05:30,"('26.0765° N', '56.2406° E')",Moderate Turbulence,20 knots,27°C
00:06:00,"('25.2532° N', '55.3657° E')",Thunderstorms,10 knots,35°C
00:06:30,"('25.2532° N', '55.3657° E')",Fog,10 knots,21°C
00:07:00,"('25.2532° N', '55.3657° E')",Icing Conditions,10 knots,29°C
00:07:30,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,32°C
00:08:00,"('34.0837° N', '74.7973° E')",Clear,15 knots,29°C
00:08:30,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,15 knots,22°C
00:09:00,"('28.7041° N', '77.1025° E')",Icing Conditions,15 knots,25°C
00:09:30,"('34.0837° N', '74.7973° E')",Thunderstorms,20 knots,35°C
00:10:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,10 knots,20°C
00:10:30,"('28.7041° N', '77.1025° E')",Thunderstorms,10 knots,30°C
00:11:00,"('26.0765° N', '56.2406° E')",Clear,15 knots,30°C
00:11:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,10 knots,23°C
00:12:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,15 knots,29°C
00:12:30,"('28.7041° N', '77.1025° E')",Thunderstorms,10 knots,24°C
00:13:00,"('28.7041° N', '77.1025° E')",Thunderstorms,20 knots,23°C
00:13:30,"('34.0837° N', '74.7973° E')",Fog,10 knots,21°C
00:14:00,"('34.0837° N', '74.7973° E')",Icing Conditions,10 knots,34°C
00:14:30,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,15 knots,24°C
00:15:00,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,22°C
00:15:30,"('34.0837° N', '74.7973° E')",Clear,20 knots,25°C
00:16:00,"('26.0765° N', '56.2406° E')",Thunderstorms,15 knots,30°C
00:16:30,"('34.0837° N', '74.7973° E')",Moderate Turbulence,20 knots,22°C
00:17:00,"('34.0837° N', '74.7973° E')",Moderate Turbulence,20 knots,33°C
00:17:30,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,33°C
00:18:00,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,30°C
00:18:30,"('25.2532° N', '55.3657° E')",Fog,15 knots,22°C
00:19:00,"('34.0837° N', '74.7973° E')",Fog,15 knots,20°C
00:19:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,15 knots,28°C
00:20:00,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,35°C
00:20:30,"('26.0765° N', '56.2406° E')",Moderate Turbulence,15 knots,27°C
00:21:00,"('28.7041° N', '77.1025° E')",Moderate Turbulence,10 knots,25°C
00:21:30,"('25.2532° N', '55.3657° E')",Clear,15 knots,30°C
00:22:00,"('34.0837° N', '74.7973° E')",Icing Conditions,20 knots,28°C
00:22:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,20 knots,30°C
00:23:00,"('25.2532° N', '55.3657° E')",Icing Conditions,15 knots,26°C
