Manual Section,Scenario,Instructions
QRH Section 3,Navigation System Failure,"Switch to backup navigation system, continue flight under manual control, prepare for manual landing."
AOM Section 2,Emergency Evacuation,"Ensure engines and systems are shut down, assist passengers as needed, inform emergency services."
AOM Section 6,Runway Overrun,"Coordinate with emergency services, assist passengers during evacuation."
FCOM Section 2,Fire in Engine,"Monitor fire indicators, do not attempt engine restart until safe."
FCOM Section 1,Fuel Leak,"Declare emergency, avoid areas where fuel leak could cause hazard, prepare for immediate landing."
FCOM Section 5,Electrical Failure,"Use emergency power supply, monitor critical systems, prepare for possible communication loss."
AOM Section 7,Smoke in Cabin,"Don smoke goggles if necessary, coordinate with ATC for priority landing."
FCOM Section 1,Runway Overrun,"Coordinate with emergency services, assist passengers during evacuation."
FCOM Section 1,Turbulence,"Reduce speed to turbulence penetration speed, secure cabin, prepare for altitude change."
AOM Section 5,Instrument Failure,"Use co-pilot's instruments if available, prepare for approach using backup systems."
AOM Section 4,Instrument Failure,"Avoid abrupt maneuvers, monitor other instruments for inconsistencies."
FCOM Section 3,Bird Strike,"Check for abnormal vibrations, perform engine checks, advise cabin crew."
FCOM Section 4,Emergency Evacuation,"Deploy slides if necessary, account for all passengers and crew."
AOM Section 5,Navigation System Failure,"Use radio navigation aids, coordinate with ATC for heading and altitude information."
AOM Section 10,Stall Warning,"Verify stall warning accuracy, monitor airspeed and altitude, prepare for possible emergency descent."
QRH Section 3,Smoke in Cabin,"Don smoke goggles if necessary, coordinate with ATC for priority landing."
QRH Section 1,Engine Failure,"Throttle idle, apply maximum climb, contact ATC for emergency landing clearance."
AOM Section 9,Airspeed Indicator Malfunction,"Cross-check with other airspeed indicators, use GPS groundspeed as reference, avoid abrupt maneuvers."
AOM Section 9,Instrument Failure,"Avoid abrupt maneuvers, monitor other instruments for inconsistencies."
AOM Section 8,Hydraulic Failure,"Implement manual flight controls, reduce speed, prepare for manual landing."
FCOM Section 4,Landing Gear Malfunction,"Consider belly landing if necessary, brief cabin crew and passengers."
